type,location,bed,address,total_sqft,bath,price
Condo for sale,New York,3,80 Riverside Blvd Apt 15L,2200,4,4100000
Condo for sale,New York,3,145 Avenue of the Americas Ste 2B,5094,4,8850000
Co-op for sale,Queens,1,87-05 166th St Unit 4H,2184.207862,1,189000
House for sale,New York County,6,152 E 63rd St,5500,6,8999999
Condo for sale,Kings County,1,2121 Shore Pkwy Apt 7F,787,1,408000
Condo for sale,Brooklyn,1,63 Brighton 2nd Pl Apt 4A,830,1,559000
Pending,Richmond County,4,6 Mann Ave,2920,4,949000
Co-op for sale,Brooklyn,2,1680 Ocean Ave Apt 5L,1000,1,379000
Co-op for sale,New York,1,33 E 22nd St Apt 4F,630,1,815000
Co-op for sale,Brooklyn,2,321 93rd St Apt 2,1200,2,599000
Co-op for sale,The Bronx,2,6 Fordham Hill Oval Apt 12G,975,2,280000
House for sale,Bronx County,3,1800 Grand Concourse,2184.207862,2.373860858,3999500
Multi-family home for sale,Brooklyn,9,522 E 51st St Unit 6,5712,6,875000
Co-op for sale,Queens County,2,68-02 140th St Unit A,2184.207862,1,310000
Townhouse for sale,Richmond County,6,13 Lake Ave,2504,4,1299900
Condo for sale,New York,2,303 E 33rd St Apt 10E,1420,2,2225000
Condo for sale,Brooklyn,2,26 Broadway Apt 402,1229,2,1530000
House for sale,Kings County,3,939 E 87th St,1224,2,594900
Multi-family home for sale,Bronx County,8,185 Throggs Neck Blvd,2184.207862,5,1080000
Pending,Queens County,4,159-18 28 Ave,2184.207862,3,1425000
Multi-family home for sale,Kings County,7,2083 Pearson St,3682,4,1399888
Pending,New York County,8,12 E 79th St,16000,10,36000000
Co-op for sale,Queens,2,99-15 66th Ave Unit 5H,2184.207862,2,575000
Co-op for sale,New York,1,720 Greenwich St Apt 7K,2184.207862,1,850000
Townhouse for sale,Kings County,3,1114 78th St,2184.207862,2,1288000
Co-op for sale,Queens,1,269-10 Grand Central Pkwy Unit 1A,1074,2,309000
Co-op for sale,New York,3,839 W End Ave Apt 2A,2184.207862,1,999000
House for sale,Kings County,5,79 Dover St,2690,2,2700000
Co-op for sale,New York,3,12 E 132nd St Apt 2A,2184.207862,2,399000
House for sale,Bronx County,3,717 E 221st St,1890,2,554900
Condo for sale,Brooklyn,1,2613 Emmons Ave Unit 326,561,1,399000
Condo for sale,Queens County,2,92-29 Queens Blvd Unit 7H116,904,2,675000
Co-op for sale,Queens,1,160-30 Cross Island Pkwy Unit 619,2184.207862,1,225000
Multi-family home for sale,Queens County,3,94-24 53rd Ave,2184.207862,2,999999
Condo for sale,Staten Island,3,36 Hamilton Ave Apt 5B,400,1,164999
Condo for sale,New York County,4,385 W 12th St Ph W,3844,4,13000000
Co-op for sale,Queens,1,118-18 Union Tpke Apt 15E,2184.207862,1,235000
Condo for sale,New York County,5,180 E 88th St,5508,2.373860858,29000000
Co-op for sale,New York,3,229 E 14th St Apt 3E,983,1,715000
Co-op for sale,Brooklyn,2,550 Grand St Apt H11E,2184.207862,1,565000
Townhouse for sale,New York County,7,525 W 150th St,2184.207862,6,1650000
Co-op for sale,Brooklyn,2,185 Prospect Park SW Apt 304,1100,2,1200000
Multi-family home for sale,Kings County,4,146 Newel St,3181,4,3975000
Co-op for sale,New York,2,376 West St Apt 2B,2184.207862,1,1049000
House for sale,Richmond County,4,489 Maine Ave,1680,2,949900
Multi-family home for sale,Queens County,6,79-28 68th Ave,2184.207862,3,1199000
Pending,Queens County,4,46-10 Glenwood St,2184.207862,2,765000
Co-op for sale,New York,2,376 West St Apt 2B,2184.207862,1,1049000
House for sale,Richmond County,4,489 Maine Ave,1680,2,949900
Multi-family home for sale,Queens County,6,79-28 68th Ave,2184.207862,3,1199000
Townhouse for sale,Queens County,3,66-27 Gray St,1296,2,849000
Multi-family home for sale,Queens County,4,60-65 55th St,2184.207862,3,999000
Multi-family home for sale,Queens County,9,99-11 43rd Ave,2184.207862,6,1280000
Pending,Kings County,3,158 Jaffrey St,2840,4,1999000
Co-op for sale,New York,1,200 E 36th St Apt 17G,700,1,560000
House for sale,New York,8,995 Fifth Ave Unit 16,8360,10,26995000
Multi-family home for sale,Richmond County,5,169 Crown Ave,3252,4,1450000
Multi-family home for sale,Kings County,5,2230 National Dr,2424,3,1599000
Co-op for sale,Queens,1,66-36 Yellowstone Blvd Unit 26C,650,1,255000
Co-op for sale,New York,2,425 W 24th St Apt 1E,2184.207862,2,995000
Multi-family home for sale,Queens County,3,9944 62nd Ave,55300,2.373860858,5827000
Co-op for sale,New York,2,425 W 24th St Apt 1E,2184.207862,2,995000
Multi-family home for sale,Queens County,3,9944 62nd Ave,55300,2.373860858,5827000
Co-op for sale,Queens,2,61-15 97th St Unit 14F,2184.207862,2,569000
Co-op for sale,New York,3,812 Fifth Ave Unit 10A,2184.207862,4,7195000
Co-op for sale,Queens,3,21-77 33rd St Unit 4F,2184.207862,1,398000
Townhouse for sale,Kings County,4,556 Henry St,3200,4,3200000
House for sale,Richmond County,3,619 Johnston Ter,2337,4,799999
Pending,Queens County,4,40-26 Benham St,2184.207862,2,758888
House for sale,Kings County,3,572 Junius St,2184.207862,2,619999
Condo for sale,Richmond County,1,1100 Clove Rd Apt Gl,1000,1,198000
House for sale,Kings County,2,2800 Brown St,560,1,485000
House for sale,Kings County,3,2062 Royce St,2184.207862,2,859000
Co-op for sale,Queens,2,16-29 212 St Unit 105,2184.207862,1,359000
Co-op for sale,Queens,2,35-56 77th St Unit 41,2184.207862,2,725000
Co-op for sale,Queens,2,46-01 39 Ave Unit 514,2184.207862,1,575000
Multi-family home for sale,Queens County,5,48-36 65th Pl,2500,5,1288000
House for sale,Richmond County,2,18 Harbour Ct,1808,2,589000
Co-op for sale,Queens,1,111-31 66th Ave Unit 2C,2184.207862,1,239000
Townhouse for sale,New York County,7,213 E 120th St,5200,4,2050000
Co-op for sale,New York,3,321 E 43rd St Apt 211,250,1,259000
Co-op for sale,New York,2,2166 Broadway Apt 11F,2184.207862,2,900000
Co-op for sale,Brooklyn,3,1119 Ocean Pkwy Unit 1O,550,1,219000
Condo for sale,New York,3,380 Lenox Ave Apt 2D,1773,2,1795000
Multi-family home for sale,Queens County,4,13-63 209th St,2184.207862,5,2290000
Townhouse for sale,New York County,4,591 Park Ave,13000,2.373860858,10850000
Condo for sale,New York,2,2322 Adam Clayton Powell Jr Blvd Apt 1C,1519,2,699000
House for sale,Queens County,3,48-23 193rd St,2184.207862,2,998000
House for sale,Kings County,3,1534 E 22nd St,2184.207862,2.373860858,1100000
Multi-family home for sale,Queens County,11,558 Seneca Ave,2184.207862,6,2198888
Co-op for sale,Queens,3,61-20 Grand Central Pkwy Unit C505,1300,2,425000
Condo for sale,Kings County,3,160 Imlay St Unit 6D2,2782,3,2750000
Co-op for sale,Brooklyn,1,3235 Emmons Ave Apt 412,790,1,279999
House for sale,Queens County,3,85-10 79th St,2184.207862,2,715000
Condo for sale,Brooklyn,3,1740 W 4th St Apt 4C,1574,3,980000
Multi-family home for sale,Queens County,6,198-06 100th Ave,2184.207862,3,949000
Co-op for sale,New York,4,26 Beaver St Apt 4,2350,2,1600000
Co-op for sale,New York,2,85 First Ave Unit 7B,2184.207862,1,640000
Multi-family home for sale,Brooklyn,7,2042 Ralph Ave Unit 4,2184.207862,5,1299999
Co-op for sale,New York,1,6300 Riverdale Ave Apt 5K,740,2,250000
Pending,Queens County,3,85-34 Chevy Chase St,2184.207862,2.373860858,1188000
Multi-family home for sale,Queens County,7,94-35 Corona Ave,2800,4,1350000
Contingent,Richmond County,3,32 Poi Ct,1498,2.373860858,725000
Co-op for sale,Queens,1,66-36 Yellowstone Blvd Unit 14A,850,1,309000
House for sale,Queens County,4,121-26 7th Ave,2184.207862,2,914999
Condo for sale,New York,3,500 W 43rd St Apt 23A,2184.207862,1,600000
House for sale,Kings County,4,7316 Ridge Blvd,3225,3,1750000
Condo for sale,Brooklyn,3,1740 W 4th St Apt 5F,1401,2,950000
Multi-family home for sale,Kings County,5,213 Milford St,2184.207862,3,850000
Condo for sale,New York,2,139 Spring St Apt 3B,2522,2,5000000
House for sale,Bronx County,3,835 Dean Ave,1870,2,1050000
Condo for sale,Brooklyn,4,1840 52nd St Apt 7,1950,3,1390000
Co-op for sale,New York,3,110 Thompson St Apt 3D,2184.207862,1,400000
House for sale,Queens County,3,116-59 120th St,2184.207862,2,750000
Condo for sale,New York,3,368 Third Ave Ph B,2926,4,9995000
Co-op for sale,Queens,2,4150 78th St Apt 222,1200,2,529000
House for sale,Kings County,3,1534 W 9th St,1440,2,1328888
Townhouse for sale,Richmond County,2,119 Richmond Hill Rd,1159,2,478888
Condo for sale,New York,1,50 E 72nd St Unit 3D,850,1,1350000
Co-op for sale,New York,2,288 W 12th St # 3FR,2184.207862,2,2250000
House for sale,Queens County,2,160-44 26th Ave,1440,1,728000
Co-op for sale,Queens County,1,163-02 17 Ave Unit 1,2184.207862,1,239900
For sale,Kings County,6,168 Lefferts Pl,5000,4,3399000
Condo for sale,New York,2,205 E 16th St Apt 4A,1892,2,2750000
Condo for sale,New York,2,401 E 60th St Apt 17A,1600,2,2095000
Co-op for sale,Queens,3,66-36 Yellowstone Blvd Unit 23C,550,1,199900
Co-op for sale,New York,3,336 W End Ave Unit 17AF,2184.207862,3,2500000
Multi-family home for sale,Richmond County,4,196 Bennett Ave,2776,4,1399999
House for sale,Queens County,3,712 126th St,2800,2,2300000
House for sale,Queens County,3,115-15 127th St,2184.207862,2,735000
Co-op for sale,Queens,2,71-36 110 St Unit 3L,1000,1,399990
Multi-family home for sale,Kings County,3,3029 Brighton 5th St,2646,3,850000
Co-op for sale,Rego Park,3,6333 98th Pl Apt 3L,625,1,215000
Co-op for sale,Queens,3,66-36 Yellowstone Blvd Unit 23C,550,1,199900
Co-op for sale,The Bronx,1,2081 Cruger Ave Apt 4C,720,1,130000
Condo for sale,Manhattan,4,23 E 22nd St Unit 55B,3310,4,16995000
Co-op for sale,New York,3,250 W 103rd St Apt 2B,2184.207862,2,1195000
Co-op for sale,New York,1,200 Cabrini Blvd Apt 117,2184.207862,1,679000
Contingent,Staten Island,2,412 Maryland Ave Apt 3A,1200,1,299998
Condo for sale,Brooklyn,2,1569 W 7th St Apt 3A,942,2,690000
Co-op for sale,Brooklyn,2,2250 Brigham St Apt 3G,854,1,185000
Pending,Queens County,3,110-38 64 Ave Units 36B & 35,2184.207862,2,859000
Multi-family home for sale,Queens County,4,12-12 120th St,1480,2,928888
Condo for sale,Queens,2,132-59 41st Rd Unit 6C,955,2,780000
House for sale,Kings County,3,260 89th St,1360,2,1190000
Co-op for sale,New York,2,201 W 70th St Apt 8C,2184.207862,2,1400000
Co-op for sale,New York,2,310 Lexington Ave Apt 1F,1100,1,599000
Condo for sale,The Bronx,3,3816 Waldo Ave Apt 3B,1180,2,639999
Co-op for sale,New York,1,430 W 34th St Apt 12H,2184.207862,1,799000
Condo for sale,New York County,3,39 W 23rd St,3228,4,14950000
House for sale,Richmond County,3,476 Robinson Ave,1600,2,749000
Condo for sale,New York,4,1280 Fifth Ave # 8BC,3100,4,2999999
Pending,New York,2,457 W 57th St Unit 809,2184.207862,3,599000
Co-op for sale,New York,2,43 Fifth Ave # 8NW,2184.207862,2,2700000
Townhouse for sale,Kings County,4,98 Degraw St,3412,4,3995000
House for sale,Kings County,3,194 Falmouth St,2750,4,2235000
House for sale,Bronx County,3,1724 Hutchinson River Pkwy,1400,2,620000
Co-op for sale,New York,4,55 Liberty St Ph 31A,2184.207862,4,1695000
Condo for sale,Kings County,3,61 N Henry St Unit Garden,1865,2,1999999
Condo for sale,Queens,2,12-29 Estates Ln Unit 223L,1850,2,1150000
Co-op for sale,Bronx County,2,59A Edgewater Park Unit A,822,1,339000
House for sale,Queens County,5,66-05 Garfield Ave,2184.207862,2,1390000
House for sale,Queens County,3,19-26 81st St,1836,2,938000
House for sale,Kings County,6,2911 Avenue D,5400,3,919000
Co-op for sale,The Bronx,3,4705 Henry Hudson Pkwy W Apt 7J,1150,2,425000
Townhouse for sale,New York County,6,109 Waverly Pl,8300,2.373860858,19995000
Multi-family home for sale,Kings County,5,2798 Pitkin Ave,2184.207862,2,1249000
Co-op for sale,New York,2,325 E 41st St Apt 509,1000,2,799000
Co-op for sale,Brooklyn,1,100 Remsen St Apt 8K,750,1,475000
Townhouse for sale,Kings County,6,464 5th St,3340,4,3800000
Co-op for sale,Brooklyn,3,3021 Avenue Z Apt 2H,1200,1,325000
Condo for sale,New York,2,50 Pine St Apt 8S,1200,2,1200000
House for sale,New York,2,200 Mercer St Apt 5E,3050,2,6975000
Condo for sale,New York,2,90 William St Apt 16G,2184.207862,2,1150000
House for sale,Kings County,4,867 Sterling Pl,3424,4,2400000
Co-op for sale,New York County,4,325 W 52nd St Ph G,2700,4,3500000
House for sale,Queens County,3,8496 Austin St,2184.207862,2,769000
House for sale,New York,4,333 E 91st St Unit 12CD,2968,4,2975000
Multi-family home for sale,Queens County,6,149-42 17th Rd,2184.207862,4,1860000
House for sale,New York County,32,150 E 105th St,7188,12,4000000
Condo for sale,Queens,2,131-01 40th Rd Unit 8G,1257,2,1250000
Co-op for sale,Queens County,1,245-54 62nd Ave Unit Lower,750,1,220000
Multi-family home for sale,Richmond County,5,7069 Amboy Rd,4143,4,1179987
Multi-family home for sale,Bronx County,7,1040 Clay Ave,3733,6,949000
House for sale,Kings County,5,468 E 46th St,2184.207862,4,920000
Contingent,Richmond County,3,74 Greencroft Ave,1312,2,699000
Co-op for sale,New York,3,52 Riverside Dr Apt 16A,2300,2,4000000
House for sale,Richmond County,3,58 Roanoke St,1456,3,649000
Condo for sale,New York,1,40 W 55th St Apt 4D,1070,2,1175000
House for sale,Kings County,2,1809 W 3rd St,800,2,995000
Condo for sale,Brooklyn,3,149 Dupont St Apt 3,1375,2,1595000
Co-op for sale,New York,3,110 Thompson St Apt 2E,2184.207862,1,435000
House for sale,Richmond County,3,58 Roanoke St,1456,3,649000
House for sale,Kings County,2,1809 W 3rd St,800,2,995000
Condo for sale,Staten Island,3,90 Bay Street Lndg Apt 8G,2082,2,1338000
House for sale,Bronx County,2,4302 Boyd Ave,1146,2,499000
Multi-family home for sale,Queens County,6,40-18 190th St,2184.207862,5,2280000
House for sale,Kings County,3,949 Schenck Ave,2184.207862,2,660000
Co-op for sale,Brooklyn,2,3235 Emmons Ave Apt 625,800,1,349000
House for sale,New York County,6,7 E 69th St,8790,6,14750000
House for sale,Richmond County,2,2701 Goethals Rd N Apt D4,900,1,160000
Condo for sale,New York,4,100 Vandam St Apt 6A,3550,4,12500000
Condo for sale,Brooklyn,3,1657 E 19th St Apt 8B,462,1,370000
Co-op for sale,New York,1,545 W 111th St Apt 2H,715,1,600000
Condo for sale,New York,2,200 E 89th St Apt 42B,1000,2,1950000
Co-op for sale,New York,3,239 E 79th St Apt 8F,1800,2,2000000
Multi-family home for sale,Queens County,7,59-43 Madison St,2184.207862,2,1250828
House for sale,Kings County,4,284 Sullivan Pl,1800,3,1149000
Co-op for sale,The Bronx,2,880 Boynton Ave Apt 18F,950,1,329999
Co-op for sale,Queens County,2,112-50 78th Ave Unit 2J,1100,1,390000
Co-op for sale,New York,3,2025 Broadway Apt 17G,2184.207862,1,400000
Co-op for sale,Brooklyn,1,150 W End Ave Apt 1J,700,1,239000
Multi-family home for sale,Queens County,4,132-14 Horace Harding Expy,2184.207862,2,1188888
Condo for sale,New York County,4,73 Wooster St # A,4856,4,18500000
Co-op for sale,Queens,3,97-37 63 Rd Unit 3E,2184.207862,2,567000
Condo for sale,New York County,5,200 W End Ave,4297,5,8900000
Co-op for sale,Queens,3,90-11 35 Ave Unit 1H,2184.207862,1,189000
House for sale,Queens County,3,82-61 172nd St,2184.207862,2,985000
Co-op for sale,New York,3,447 Fort Washington Ave Apt 44,1120,2,839000
Co-op for sale,New York,3,455 E 51st St # 4F,2184.207862,2,995000
Condo for sale,Brooklyn,4,800 Bedford Ave Unit 4,1625,2,1439000
Co-op for sale,Queens,2,144-40 71 Ave Unit 2,900,1,379000
Co-op for sale,New York County,4,425 E 63rd St,2184.207862,4,3195000
Condo for sale,Brooklyn,4,800 Bedford Ave Unit 4,1625,2,1439000
Multi-family home for sale,Queens County,5,64-56 Woodbine St,1800,2,1245000
Townhouse for sale,Kings County,4,1069 Lincoln Pl,2184.207862,4,1995000
Multi-family home for sale,Richmond County,4,148 Brighton Ave,1600,3,365000
Condo for sale,Queens County,2,1215 Broadway Apt 320,1025,2,950000
House for sale,New York County,6,9 Clinton St,2184.207862,6,4195000
Condo for sale,The Bronx,1,1594 Unionport Rd Apt 2A,658,1,209000
Pending,Kings County,5,1429 Avenue H,1992,4,1390000
Condo for sale,New York County,6,306 Mott St Unit Phtriplex,3920,6,8250000
Co-op for sale,Kings County,2,9411 Shore Rd Unit Lf,850,1,429000
House for sale,New York,1,310 E 46th St Apt 17H,2184.207862,1,950000
House for sale,Kings County,3,4716 Avenue H,2835,3,699000
Condo for sale,Brooklyn,1,2120 Ocean Ave Apt 5B,724,1,450000
House for sale,Kings County,4,2330 E 15th St,1500,2,1190000
Co-op for sale,New York,2,10 Park Ave Ph 25A,2184.207862,2,2995000
Condo for sale,Queens,3,150-38 Union Tpke Unit 8L,2184.207862,1,349980
Contingent,Staten Island,1,4219 Amboy Rd Unit 4A,693,1,339000
House for sale,Kings County,3,287 E 34th St,1257,2,649000
Co-op for sale,New York,3,1100 Park Ave # 11C,2600,4,4695000
Co-op for sale,Queens,1,32-30 93rd St Unit A7,2184.207862,1,189999
Co-op for sale,Queens,1,32-30 93rd St Unit A7,2184.207862,1,189999
House for sale,Kings County,3,4716 Avenue H,2835,3,699000
Condo for sale,Queens,3,150-38 Union Tpke Unit 8L,2184.207862,1,349980
House for sale,Bronx County,3,765 E 224th St,1613,4,399888
Pending,Richmond County,4,251 Wilson Ave,2393,4,1199900
Condo for sale,New York,3,52 Convent Ave Unit 1C,2472,4,1395000
House for sale,Kings County,6,163 Whitman Dr,2184.207862,6,2759000
Condo for sale,New York,4,303 W 113th St Unit 2,2135,3,2995000
Co-op for sale,Queens,1,102-10 66th Rd Unit 14A,2184.207862,1,399000
Multi-family home for sale,New York County,5,31 Grove St,4230,4,16995000
Co-op for sale,New York,2,860 W 181st St Apt 56,1060,1,650000
House for sale,Kings County,4,2634 National Dr,3510,3,2599000
Townhouse for sale,Kings County,4,449 Classon Ave,2625,2,1195000
House for sale,Kings County,3,340 86th St,1188,2,1288000
Condo for sale,Brooklyn,2,79 Bridge St Apt 5C,1447,2,2099000
Multi-family home for sale,Kings County,5,236 45th St,1920,3,1275000
Multi-family home for sale,Brooklyn,12,726 Metropolitan Ave Unit 6,2184.207862,6,1999999
Multi-family home for sale,New York County,5,31 Grove St,4230,4,16995000
Townhouse for sale,New York County,8,141 E 63rd St,7327,2.373860858,10750000
Co-op for sale,New York,1,165 E 60th St Apt 5C,2184.207862,1,650000
Co-op for sale,New York,3,61 E 82nd St Apt 1A,3475,4,4800000
Multi-family home for sale,New York County,3,51 E 126th St,3812,2.373860858,1279900
Multi-family home for sale,Queens County,7,214-03 16 Ave,3780,4,1680000
Co-op for sale,Queens,1,68-09 138th St Unit 2B,850,1,299000
Co-op for sale,New York,1,120 Central Park S Apt 3G,2184.207862,1,845000
Co-op for sale,New York,3,233 E 70th St Apt 6R,2184.207862,1,415000
Co-op for sale,Queens,1,27110 Grand Central Pkwy Apt 5L,1213,2,449000
Condo for sale,Brooklyn,3,365 Bridge St Apt 8J,1287,2,1250000
Townhouse for sale,Kings County,5,425 Pacific St,2184.207862,4,4395000
Co-op for sale,Queens,1,35-51 85th St Unit 6F,2184.207862,1,315000
Co-op for sale,Brooklyn,2,7901 4th Ave Apt E22,900,1,499000
House for sale,Richmond County,3,752 Correll Ave,1700,2,699000
Condo for sale,Brooklyn,4,762 Empire Blvd Apt 4D,1268,2,625000
House for sale,Queens County,3,31-10 95th St,2184.207862,2,749000
Multi-family home for sale,Kings County,4,154 E 22nd St,1600,2,949000
Co-op for sale,Brooklyn,3,349 6th Ave Apt 2,2184.207862,1,1495000
Townhouse for sale,New York County,6,438 W 162nd St Unit Townhouse,3972,4,2395000
Condo for sale,Brooklyn,4,762 Empire Blvd Apt 4D,1268,2,625000
House for sale,Richmond County,3,19 Park Ln,3328,4,1250000
House for sale,Queens County,3,31-10 95th St,2184.207862,2,749000
Multi-family home for sale,Kings County,9,278 Decatur St,2184.207862,5,3165000
Co-op for sale,The Bronx,1,2750 Johnson Ave Apt 5C,2184.207862,1,205000
Condo for sale,Queens,1,22-19 33rd St Unit 1B,2184.207862,2,1198000
House for sale,Kings County,3,181 Hastings St,3454,3,2199000
Co-op for sale,New York,3,144 Franklin St Unit 3F,3000,2,5495000
Co-op for sale,New York,1,55 E 65th St Apt 4B,2184.207862,1,625000
House for sale,Kings County,3,768 Herkimer St,1890,2.373860858,1449999
House for sale,Queens County,5,256-16 86th Ave,2184.207862,4,1399000
Co-op for sale,New York,3,230 Central Park W Apt 6H,322,1,525000
Townhouse for sale,New York County,4,22 E 78th St,5500,2.373860858,12000000
House for sale,Kings County,3,74 89th St,1700,2,1299000
Co-op for sale,Queens,1,37-21 80 St Unit 6T,2184.207862,1,269000
Co-op for sale,New York,1,152 E 83rd St Apt 3D,2184.207862,1,450000
Multi-family home for sale,Richmond County,4,243 Deems Ave,2194,2,899999
House for sale,Kings County,2,1336 Dean St,1077,2,925000
Co-op for sale,Brooklyn,1,680 81st St Apt 3D,600,1,279000
Condo for sale,New York,2,230 Riverside Dr Apt 8A,2184.207862,2,1795000
Pending,New York,2,60 Gramercy Park N Apt 2H,2184.207862,2,1250000
Condo for sale,Brooklyn,3,4711 8th Ave Apt 2B,622,1,560000
House for sale,Queens County,3,423 Beach 126th St,1260,2,999000
Multi-family home for sale,Queens County,6,188-39 Ilion Ave,2186,2,1188000
House for sale,Kings County,3,1611 Oriental Blvd,950,1,948888
Condo for sale,Brooklyn,2,1370 Bushwick Ave Apt 2A,832,2,735000
Multi-family home for sale,Brooklyn,13,487 E 93rd St Unit 1,2184.207862,5,1399000
Co-op for sale,New York,3,900 5th Ave Apt 4B,2184.207862,4,3600000
Multi-family home for sale,New York County,8,216 E 117th St,5000,4,1850000
Co-op for sale,New York,2,340 W 19th St Apt 4,2184.207862,1,789000
House for sale,Queens County,3,110-25 217 St Unit 11146-0021,2184.207862,1,569000
Condo for sale,New York,2,2 Cornelia St Apt 203,1135,2,1700000
Condo for sale,New York County,4,10 Greene St,4155,4,12995000
Co-op for sale,New York,2,552 W 141st St Apt 2D,613,1,295000
Co-op for sale,New York,1,245 E 25th St Apt 8L,650,1,625000
Condo for sale,Queens County,3,30-38 29th St Unit 2B,391,1,399000
Condo for sale,New York,3,565 Broome St Apt N9E,2357,4,5700000
Condo for sale,Brooklyn,3,2805 E 28th St Apt 1B,2184.207862,2,618000
Co-op for sale,The Bronx,1,5621 Netherland Ave Apt 3C,694,1,149999
Condo for sale,New York,3,382 Central Park W Apt 14T,550,1,650000
Multi-family home for sale,Queens County,5,63-12 136th St,2184.207862,2.373860858,1990000
Co-op for sale,New York,1,57 W 93rd St Apt 3G,2184.207862,1,550000
Co-op for sale,The Bronx,1,3015 Riverdale Ave Apt 6A,2184.207862,1,279000
Co-op for sale,Queens,2,88-11 Elmhurst Ave Unit A4,1090,1,399000
Townhouse for sale,Kings County,3,16 Morgan Ave,4125,2.373860858,2495000
Townhouse for sale,New York County,10,315 E 51st St Unit Townhouse,2184.207862,8,3695000
Co-op for sale,New York,3,321 E 54th St Apt 3C,394,1,299000
Condo for sale,Staten Island,1,50 Fort Pl Unit 2G,864,1,239500
Co-op for sale,Riverdale,1,3512 Oxford Ave Apt 1B,850,1,235000
House for sale,New York,1,200 E 90th St Apt 20D,2184.207862,1,680000
House for sale,Richmond County,3,419 Britton Ave,1280,3,629000
Pending,Kings County,3,8934 15th Ave,2300,2,1039000
House for sale,Richmond County,3,302 Sheldon Ave,3760,2.373860858,2200000
House for sale,Kings County,3,51 Hill St,600,2.373860858,380000
Co-op for sale,Queens,2,69-40 Yellowstone Blvd Unit 202,2184.207862,2,599000
Townhouse for sale,Richmond County,3,14 Long Pond Ln,1280,2,530000
Condop for sale,New York,1,333 E 46th St Apt 17E,2184.207862,1,598000
Condo for sale,Kings County,4,9 Franklin Ave,1632,2,1449000
Co-op for sale,Brooklyn,1,88 Brooklyn Ave Apt A3,2184.207862,1,459000
Pending,Richmond County,5,170 Amsterdam Ave,2184.207862,2,825000
Condo for sale,Brooklyn,2,508A Lexington Ave # 3,2184.207862,2,745000
Co-op for sale,Queens,2,35-38 75th St Unit 3G,2184.207862,1,440000
Condo for sale,New York County,3,279 Central Park W Units 3 & 4B,2855,4,7750000
Land for sale,Richmond County,3,409 Slater Blvd,2184.207862,2.373860858,399900
Condo for sale,New York,1,240 Riverside Blvd Apt 14N,791,1,990000
Land for sale,Richmond County,3,409 Slater Blvd,2184.207862,2.373860858,399900
Multi-family home for sale,Queens County,4,32-40 87th St,2184.207862,3,1150000
Condo for sale,New York,1,240 Riverside Blvd Apt 14N,791,1,990000
Condo for sale,New York,1,900 Park Ave Apt 16C,1100,2,2300000
Pending,New York,3,36 Gramercy Park E Apt 5N,2160,2,4999000
Condo for sale,Staten Island,1,11 Windham Loop Apt 2GG,738,1,350000
Multi-family home for sale,New York County,5,311 W 138th St,3640,4,1900000
Multi-family home for sale,Queens County,6,40-20 217th St,3184,6,2498000
Co-op for sale,New York,3,101 W 12th St Apt 11R,2184.207862,2,3500000
Pending,Kings County,5,203 Sterling St,2128,2,995000
Contingent,Staten Island,3,16 Bay Ter Apt 2E,435,1,193999
Co-op for sale,Queens County,3,61-20 Grand Central Pkwy Unit B609,713,1,245000
Condo for sale,New York,3,45 Walker St Apt 2,4781,4,8495000
Condo for sale,New York County,4,71 Reade St # A,2938,4,12500000
House for sale,New York,3,2762 Cropsey Ave,2184.207862,3,849000
Condo for sale,Kings County,1,410 Fenimore St,2184.207862,2.373860858,500000
Condo for sale,New York,3,416 W 52nd St Apt 312,1929,2,1895000
Co-op for sale,Brooklyn,1,2265 Ocean Pkwy Apt 1F,600,1,189900
Co-op for sale,New York,3,40 E 88th St Ph 14E,2184.207862,4,5500000
Condo for sale,New York County,4,555 W End Ave,4372,2.373860858,10850000
Multi-family home for sale,Bronx County,5,503 Hollywood Ave,1980,4,999000
Condo for sale,New York,3,500 Park Ave # 16D,1708,2,2195000
Multi-family home for sale,Kings County,7,1677 Bay Ridge Ave,2000,2,1260000
Co-op for sale,New York,1,160 Ninth Ave Unit 1R,2184.207862,1,675000
Pending,New York,2,535 W 163rd St Apt 3,600,1,225000
Co-op for sale,Brooklyn,1,402 Bay Ridge Pkwy Apt 68,650,1,229000
Multi-family home for sale,Richmond County,6,595 Sinclair Ave,2500,5,1275000
Condo for sale,New York,5,270 Broadway Apt 19D,4014,4,5495000
Co-op for sale,Brooklyn,2,235 Adams St Apt 4D,2184.207862,2,850000
House for sale,Bronx County,4,661 E 228th St,2184.207862,3,450000
Multi-family home for sale,Queens County,3,22-36 92nd St,2184.207862,2,950000
House for sale,Queens County,4,191-20 113th Rd,1648,3,730000
Condo for sale,Queens,2,213-02 42nd Ave Unit 7E,2184.207862,2,830000
House for sale,Queens County,5,110-35 166th St,2184.207862,4,829000
Condo for sale,New York,3,186 W 80th St Apt 3E,2184.207862,1,555000
House for sale,Queens County,4,84-49 264th St,2184.207862,2,888000
Multi-family home for sale,Queens County,6,228 Beach 125th St,2600,3,1149000
Pending,Richmond County,3,157 N Pine Ter,2112,2,648000
Condo for sale,Brooklyn,2,9201 Shore Rd Apt A302,825,1,499000
Condo for sale,Queens,2,113 Beach 60th St Unit 95,1249,1,450000
Multi-family home for sale,Queens County,6,183-07 145th Dr,2184.207862,3,3900000
