type,location,bed,address,total_sqft,bath,price
Condo for sale,New York County,5,37 Warren St Unit Phcd,5499,6,17500000
Condo for sale,Staten Island,2,20 Cliff St Apt 6D,966,2,189000
Condo for sale,Queens,3,206-04 Emily Rd Unit 37M,1200,2,759000
House for sale,Kings County,4,579 E 29th St,2184.207862,1,275000
Condo for sale,New York,1,157 E 72nd St Apt 8I,630,1,499000
House for sale,Bronx County,3,3021 Arlington Ave,2184.207862,2.373860858,1249000
Co-op for sale,Bronx County,2,61 Edgewater Park Unit B,700,1,69900
Multi-family home for sale,Queens County,12,32-40 48 St,5508,6,1150000
Foreclosure,New York County,5,517 W 142nd St,3740,4,1749900
Co-op for sale,Queens,3,269-10 Grand Central Pkwy Unit 21W,1993,4,1399000
Condo for sale,Queens,3,163-04 71st Ave Unit 122,1182,2,649000
House for sale,Bronx County,5,2774 Marion Ave,1760,2,499000
Multi-family home for sale,Bronx County,5,2818 Miles Ave,3132,4,1050000
Townhouse for sale,New York County,10,137 W 80th St,6425,9,5000000
Pending,Richmond County,1,16 Mapleton Ave,660,1,90000
House for sale,New York County,11,9 W 54th St,24000,10,56000000
Townhouse for sale,Bronx County,3,1544 Ohm Ave,1638,2.373860858,650000
Condo for sale,New York,4,251 W 89th St Apt 6E,1794,3,500000
House for sale,Richmond County,2,750 Patterson Ave,490,1,350000
House for sale,Queens County,4,204-34 9th Ave,2184.207862,2,1099000
Co-op for sale,The Bronx,1,1383 Plimpton Ave Apt 1C,450,1,90000
House for sale,Queens County,4,158-35 87th St,2184.207862,2,839000
House for sale,Queens County,8,148-05 111th Ave,2184.207862,3,659000
House for sale,Queens County,8,148-05 111th Ave,2184.207862,3,659000
House for sale,Queens County,3,178 Beach 24th St,2184.207862,1,399999
Condo for sale,Brooklyn,3,3105 Avenue V Apt 1F,2184.207862,1,250000
For sale,New York County,2,The Rockwell # 6H,1132,2,1740000
House for sale,Queens County,4,115115 220th St,2244,2,650000
House for sale,Richmond County,3,67 Dexter Ave,3500,4,1165000
House for sale,Richmond County,3,447 Vernon Ave,1150,2,729900
House for sale,Kings County,3,3758 Bayview Ave,3150,4,1880000
Co-op for sale,Queens,2,26910 Grand Central Pkwy Apt 22L,1549,2,449000
House for sale,Queens County,3,251 Beach 140th St,2250,2,1175000
Townhouse for sale,New York County,3,16 Gay St,2184.207862,2,2750000
House for sale,Queens County,3,159-03 83rd St,2184.207862,2,995000
Condo for sale,Manhattan,3,200 Rector Pl Unit 27EF,2000,2,2000000
Townhouse for sale,Kings County,8,126 Pierrepont St,2184.207862,6,15000000
House for sale,Richmond County,4,25 Copperleaf Ter,8333,6,2800000
House for sale,Queens County,5,214-42 27th Ave,3024,4,2600000
Townhouse for sale,New York County,6,51 Hamilton Ter,6000,6,3500000
Co-op for sale,New York,1,609 Columbus Ave Apt 10I,2184.207862,1,550000
Pending,Richmond County,3,290 Lake Ave,2184.207862,4,769000
House for sale,Kings County,3,2519 Mill Ave,2400,2,675000
House for sale,Richmond County,4,48 Princewood Ave,1238,2,879000
House for sale,Queens County,3,30-36 88th St,2184.207862,2,918888
Townhouse for sale,Kings County,4,396 A 9th St Unit 2,1892,2,2400000
House for sale,Queens County,6,45-12 244th St,3024,2.373860858,1730000
Multi-family home for sale,Bronx County,5,755 Coster St,2184.207862,2,425000
House for sale,Queens County,5,33-02 Parsons Blvd,1450,2.373860858,2500000
House for sale,Richmond County,4,336 Bethel Ave,2000,4,998000
House for sale,Richmond County,4,222 Hart Blvd,2688,4,1195000
House for sale,Kings County,3,1217 84th St,2052,2,1649000
House for sale,Richmond County,4,82 Vineland Ave,2100,4,955000
Multi-family home for sale,Queens County,6,117-37 141st St,2184.207862,3,949000
House for sale,Queens County,3,190-16 33rd Ave,1743,2,880000
Townhouse for sale,New York County,4,145 Reade St,10582,2.373860858,39995000
Townhouse for sale,New York County,8,246 E 58th St # Th,2184.207862,2.373860858,1250000
Contingent,Richmond County,3,61 Prescott Ave,1784,2,899999
Condo for sale,Queens,1,118-18 Union Tpke Unit 7D,750,1,198000
House for sale,Bronx County,5,2808 Wickham Ave,496,3,549000
House for sale,Kings County,3,1568 W 2nd St,1320,4,1088888
House for sale,Bronx County,4,3079 Giegerich Pl,2686,2,888000
For sale,New York,3,1287266 45 Madison St Unit 1,230,1,65000
House for sale,Queens County,3,21-89 47th St,2184.207862,2,1449999
Townhouse for sale,New York County,5,45 W 70th St,2184.207862,5,14900000
Coming Soon,Kings County,5,871 Putnam Ave,2250,2,1695000
House for sale,Queens County,5,152 Whitson St,4100,2.373860858,2499000
Townhouse for sale,Kings County,4,59 Duffield St,2508,4,1970000
Co-op for sale,Brooklyn,2,905 Union St Apt 1,2184.207862,2,1895000
House for sale,Richmond County,3,46 Kirshon Ave,1248,2.373860858,689000
House for sale,Richmond County,3,219 Slater Blvd,1440,2,649999
House for sale,Richmond County,3,74 Holly St,864,2,669000
House for sale,Kings County,3,1485 E 53rd St,825,2,800000
Co-op for sale,New York,1,10 Bleecker St Apt 5D,2184.207862,2,2375000
For sale,Kings County,6,726 Nostrand Ave,6688,6,2400000
House for sale,Richmond County,2,231 Freeborn St,586,1,390000
Condo for sale,New York,1,302 W 12th St Apt 7F,2184.207862,1,2250000
House for sale,Richmond County,4,308 Poillon Ave,2700,2.373860858,1450000
Condo for sale,Brooklyn,2,627 Wilson Ave Apt 3,792,2,725000
Co-op for sale,The Bronx,1,4901 Henry Hudson Pkwy W Apt 5F,2184.207862,1,269000
Co-op for sale,New York,2,575 Park Ave Unit 1101,2184.207862,2,695000
House for sale,Bronx County,3,246 Newman Ave,2184.207862,2,1300000
Co-op for sale,Kings County,3,2475 W 16th St Apt 19H,1250,2,459000
House for sale,Richmond County,3,596 College Ave,1008,2,689999
Co-op for sale,Queens County,3,58-03 Calloway St Unit 2P2,1405,2,425000
House for sale,New York County,5,166 E 64th St,6800,4,10000000
Co-op for sale,New York,2,67 Riverside Dr Apt 1C,2184.207862,2,1525000
Multi-family home for sale,Kings County,9,2619 Shore Pkwy,3519,6,1499000
Co-op for sale,New York,2,575 Park Ave Unit 1101,2184.207862,2,695000
House for sale,Bronx County,3,246 Newman Ave,2184.207862,2,1300000
Co-op for sale,The Bronx,1,4901 Henry Hudson Pkwy W Apt 5F,2184.207862,1,269000
Co-op for sale,Queens County,3,58-03 Calloway St Unit 2P2,1405,2,425000
Multi-family home for sale,Kings County,9,2619 Shore Pkwy,3519,6,1499000
House for sale,Richmond County,3,62 Simmons Ln,1480,2,519000
Co-op for sale,Queens,2,212-79 16 Ave Unit 183,2184.207862,1,358000
Co-op for sale,New York,3,360 W 22nd St Apt 9J,2184.207862,1,975000
Townhouse for sale,New York County,12,123 E 35th St,11638,10,29200000
Co-op for sale,Brooklyn,2,138 71st St Apt E10,975,1,498000
Co-op for sale,Queens,1,1805 215th St Apt 4S,900,2,385000
Multi-family home for sale,Bronx County,6,851 Van Nest Ave,3144,2,999000
Co-op for sale,Queens,1,34-41 85th St Unit 3U,2184.207862,1,399000
Contingent,Richmond County,4,77 Harbour Ct,2800,4,599000
House for sale,New York,4,70 Savo Loop,1800,2.373860858,829888
Townhouse for sale,Richmond County,3,159 Freedom Ave,1548,2,699998
Co-op for sale,Queens,5,20 Continental Ave Unit 5EF,2184.207862,2,1088000
House for sale,Bronx County,6,3426 Boller Ave,1280,2,999000
Multi-family home for sale,Queens County,15,677 Grandview Ave,2184.207862,9,1188888
Co-op for sale,Queens,1,23-45 Bell Blvd Unit 5K,700,1,265000
Co-op for sale,Brooklyn,1,3901 Nostrand Ave Apt 4C,845,1,288000
Co-op for sale,New York,3,205 E 63rd St Unit 11EF,1750,2,999995
Co-op for sale,New York,2,200 E 74th St Apt 6B,1350,2,1495000
Co-op for sale,New York,1,235 E 73rd St # 4B,1000,1,925000
Co-op for sale,Queens,2,84-70 129 St N Unit 5U,2184.207862,1,349000
Condo for sale,New York,4,444 E 57th St Apt 2D,3000,4,2000000
Condo for sale,Kings County,3,8895 26th Ave Apt 5A,1376,2,839000
Co-op for sale,Queens,1,111-39 76th Rd Unit E6,820,1,329000
Multi-family home for sale,Bronx County,6,948 E 217th St,3683,3,899000
House for sale,Kings County,3,534 Powell St,2184.207862,2,615000
Condo for sale,New York,2,309 E 108th St Apt 5F,1257,2,800000
Condo for sale,Staten Island,2,527 Willow Rd E Unit 2,1248,2,430000
Contingent,Richmond County,3,625 Goethals Rd N,1288,2,499000
Co-op for sale,Queens,3,83-80 118th St Unit 3O,1400,2,439500
Co-op for sale,Queens,1,118-18 Union Tpke Unit 17G,2184.207862,1,299000
House for sale,Richmond County,8,60 Lyman Pl,6493,2.373860858,2580000
Condo for sale,Bronx County,1,1700 Metropolitan Ave Apt Mh,613,1,200000
Co-op for sale,New York,3,504 W 135th St Apt 1B,2184.207862,1,425000
Co-op for sale,The Bronx,1,1185 Anderson Ave Apt 2E,850,1,69000
Condo for sale,New York,3,272 W 107th St Apt 8D,1546,2,1995000
Co-op for sale,New York,1,255 W 108th St Apt 1F,620,1,230000
Co-op for sale,Queens,1,82-35 134th St Unit 2D,590,1,220000
Co-op for sale,Queens,3,42-40 Bowne St Unit 6F,2184.207862,1,198000
Co-op for sale,New York,1,48 Gramercy Park N Apt 1B,2184.207862,2,1495000
Co-op for sale,New York,1,520 E 90th St Apt 1L,615,1,475000
Co-op for sale,Queens,2,234-04 131 Ave Unit 2,2184.207862,1,199900
House for sale,Richmond County,2,91 Flagg Ct,1444,2,1150000
House for sale,Kings County,3,530 4th St,2184.207862,2,1575000
Co-op for sale,Queens,1,33-05 92nd St Unit 1B,2184.207862,1,229000
For sale,Kings County,8,122 Willoughby Ave,2184.207862,4,2700000
Condo for sale,The Bronx,2,1860 Story Ave Unit 36C,936,2,320000
Co-op for sale,Brooklyn,2,1275 E 5th St Apt 6A,700,1,295000
House for sale,Kings County,3,4211 Snyder Ave,2184.207862,2,550000
Condo for sale,The Bronx,2,1439 Metropolitan Ave Apt 6A,1000,1,285000
Co-op for sale,Queens,1,83-30 Vietor Ave Unit 414,800,1,328000
Multi-family home for sale,Queens County,4,25-02 169th St,2184.207862,3,1388000
Multi-family home for sale,Kings County,10,120 Pierrepont St,2184.207862,10,3000000
Multi-family home for sale,Queens County,7,662 Seneca Ave,2184.207862,6,2198888
Multi-family home for sale,Bronx County,6,936 Taylor Ave,2310,2,650000
Condo for sale,New York,1,247 W 46th St Apt 1506,890,2,1100000
Townhouse for sale,Kings County,5,282 Macon St,4050,4,2649000
Co-op for sale,Brooklyn,2,299 13th St Apt 3D,800,1,849000
For sale,New York,2,995 Fifth Ave Apt 11N,2184.207862,2,6500000
Co-op for sale,New York,3,165 W End Ave Apt 16C,550,1,560000
Condo for sale,New York,1,247 W 46th St Apt 1506,890,2,1100000
Townhouse for sale,Kings County,5,282 Macon St,4050,4,2649000
Co-op for sale,Brooklyn,2,299 13th St Apt 3D,800,1,849000
Co-op for sale,Brooklyn,2,946 59th St Apt 4B,900,1,418888
Multi-family home for sale,Kings County,3,99 Bay 11th St,3978,3,2600000
Multi-family home for sale,Bronx County,8,3214 Seymour Ave,2160,2,899000
Multi-family home for sale,Kings County,8,309 E 96th St,2860,3,979000
Co-op for sale,Queens,1,67-38 108 St Unit D5,2184.207862,1,199000
For sale,New York,3,310 E 46th St Apt 6S,2184.207862,1,815000
Condo for sale,New York,1,460 E 79th St Apt 9F,800,1,1025000
Condo for sale,New York,1,188 E 64th St Apt 802,920,2,1375000
Condo for sale,New York,3,105 Bennett Ave Apt 21A,1437,2,875000
Multi-family home for sale,Kings County,6,2535 E 24th St,3000,3,1350000
For sale,Kings County,7,1408 Remsen Ave,2184.207862,3,989000
Multi-family home for sale,Richmond County,4,156 Davis Ave,2945,4,815156
Multi-family home for sale,Kings County,3,11 Brighton 10th Path,2560,5,1949000
Multi-family home for sale,Queens County,5,418 Beach 37th St,1893,2,669000
Multi-family home for sale,Kings County,4,10716 Avenue J,2184.207862,2,900500
Co-op for sale,New York,3,215 E 73rd St Unit 4A,2184.207862,3,1465000
For sale,New York,3,529 W 42nd St Apt 2G,1100,1,899000
Condo for sale,New York,1,88 Greenwich St Apt 2307,726,1,1100000
Multi-family home for sale,Queens County,6,151-42 82nd St,2184.207862,5,1199000
For sale,New York,2,12 W 107th St Apt 2B,2184.207862,1,325000
Multi-family home for sale,New York,4,3100 Richmond Ter,1176,3,599000
Multi-family home for sale,Queens County,4,74-06 64th Ln,2184.207862,3,1230000
Co-op for sale,New York,3,2 Sutton Pl S Apt 19F,2184.207862,3,3950000
House for sale,Richmond County,7,6659-6675 Amboy Rd,10000,6,2147483647
Multi-family home for sale,Kings County,10,188 Richmond St,3383,5,1350000
House for sale,Kings County,5,1124 E 51st St,1800,3,799000
House for sale,Richmond County,5,1233 Todt Hill Rd,5600,3,1599000
House for sale,Richmond County,4,346 George St,2755,4,1299900
Co-op for sale,Brooklyn,1,100 Remsen St Apt 3F,2184.207862,1,370000
For sale,New York,3,635 W 170th St Apt 2C,2184.207862,1,3225
Co-op for sale,New York,3,11 W 30th St Apt 11F,2184.207862,2,3649000
Multi-family home for sale,Kings County,5,3743 Neptune Ave,2324,3,860000
House for sale,Richmond County,3,80 Longview Rd,2205,4,765000
Co-op for sale,Brooklyn,1,3500 Snyder Ave Apt 5N,750,1,259000
Multi-family home for sale,Kings County,8,1601 Nostrand Ave,3135,3,1500000
